

Microchip Technology PIC18 LITE Macro Assembler V1.32 build 58300 
                                                                                               Wed Aug 06 11:02:16 2014

Microchip Technology Omniscient Code Generator (Lite mode) build 58300
     1                           	processor	18F2550
   168  000801                     __stringdata:
   169                           	opt stack 0
   170  000801                     STR_3:
   171  000801  43                 	db	67	;'C'
   172  000802  74                 	db	116	;'t'
   173  000803  72                 	db	114	;'r'
   174  000804  3D                 	db	61	;'='
   175  000805  20                 	db	32
   176  000806  20                 	db	32
   177  000807  20                 	db	32
   178  000808  20                 	db	32
   179  000809  00                 	db	0
   180  00080A                     STR_1:
   181  00080A  20                 	db	32
   182  00080B  43                 	db	67	;'C'
   183  00080C  79                 	db	121	;'y'
   184  00080D  74                 	db	116	;'t'
   185  00080E  72                 	db	114	;'r'
   186  00080F  6F                 	db	111	;'o'
   187  000810  6E                 	db	110	;'n'
   188  000811  20                 	db	32
   189  000812  00                 	db	0
   190  000813                     STR_4:
   191  000813  50                 	db	80	;'P'
   192  000814  72                 	db	114	;'r'
   193  000815  65                 	db	101	;'e'
   194  000816  73                 	db	115	;'s'
   195  000817  73                 	db	115	;'s'
   196  000818  53                 	db	83	;'S'
   197  000819  57                 	db	87	;'W'
   198  00081A  31                 	db	49	;'1'
   199  00081B  00                 	db	0
   200  00081C                     STR_2:
   201  00081C  41                 	db	65	;'A'
   202  00081D  6D                 	db	109	;'m'
   203  00081E  70                 	db	112	;'p'
   204  00081F  4D                 	db	77	;'M'
   205  000820  65                 	db	101	;'e'
   206  000821  74                 	db	116	;'t'
   207  000822  65                 	db	101	;'e'
   208  000823  72                 	db	114	;'r'
   209  000824  00                 	db	0
   210  000825                     __end_of__stringdata:
   211                           	opt stack 0
   212                           
   213                           ; #config settings
   214  000825  00                 	db	0	; dummy byte at the end
   215  0000                     
   216                           	psect	cinit
   217  0016E4                     __pcinit:
   218                           	opt stack 0
   219  0016E4                     start_initialization:
   220                           	opt stack 0
   221  0016E4                     __initialization:
   222                           	opt stack 0
   223                           
   224                           ; Clear objects allocated to COMRAM (37 bytes)
   225  0016E4  EE00  F02B         	lfsr	0,__pbssCOMRAM
   226  0016E8  0E25               	movlw	37
   227  0016EA                     clear_0:
   228  0016EA  6AEE               	clrf	postinc0,c
   229  0016EC  06E8               	decf	wreg,f,c
   230  0016EE  E1FD               	bnz	clear_0
   231                           
   232                           ; Initialize objects allocated to BANK0 (75 bytes)
   233                           ; load TBLPTR registers with __pidataBANK0
   234  0016F0  0E32               	movlw	low __pidataBANK0
   235  0016F2  6EF6               	movwf	tblptrl,c
   236  0016F4  0E17               	movlw	high __pidataBANK0
   237  0016F6  6EF7               	movwf	tblptrh,c
   238  0016F8  0E00               	movlw	low (__pidataBANK0 shr (0+16))
   239  0016FA  6EF8               	movwf	tblptru,c
   240  0016FC  EE00  F060         	lfsr	0,__pdataBANK0
   241  001700  EE10 F04B          	lfsr	1,75
   242  001704                     copy_data0:
   243  001704  0009               	tblrd		*+
   244  001706  CFF5 FFEE          	movff	tablat,postinc0
   245  00170A  50E5               	movf	postdec1,w,c
   246  00170C  50E1               	movf	fsr1l,w,c
   247  00170E  E1FA               	bnz	copy_data0
   248                           
   249                           ; Initialize objects allocated to COMRAM (2 bytes)
   250                           ; load TBLPTR registers with __pidataCOMRAM
   251  001710  0E60               	movlw	low __pidataCOMRAM
   252  001712  6EF6               	movwf	tblptrl,c
   253  001714  0E19               	movlw	high __pidataCOMRAM
   254  001716  6EF7               	movwf	tblptrh,c
   255  001718  0E00               	movlw	low (__pidataCOMRAM shr (0+16))
   256  00171A  6EF8               	movwf	tblptru,c
   257  00171C  0009               	tblrd		*+	;fetch initializer
   258  00171E  CFF5 F050          	movff	tablat,__pdataCOMRAM
   259  001722  0009               	tblrd		*+	;fetch initializer
   260  001724  CFF5 F051          	movff	tablat,__pdataCOMRAM+1
   261  001728                     end_of_initialization:
   262                           	opt stack 0
   263  001728                     __end_of__initialization:
   264                           	opt stack 0
   265  001728  0E00               	movlw	low (__Lmediumconst shr (0+16))
   266  00172A  6EF8               	movwf	tblptru,c
   267  00172C  0100               	movlb	0
   268  00172E  EF13  F004         	goto	_main	;jump to C main() function
   269                           tblptru	equ	0xFF8
   270                           tblptrh	equ	0xFF7
   271                           tblptrl	equ	0xFF6
   272                           tablat	equ	0xFF5
   273                           postinc0	equ	0xFEE
   274                           wreg	equ	0xFE8
   275                           postdec1	equ	0xFE5
   276                           fsr1l	equ	0xFE1
   277                           
   278                           	psect	bssCOMRAM
   279  00002B                     __pbssCOMRAM:
   280                           	opt stack 0
   281  00002B                     bcd@F4844:
   282                           	opt stack 0
   283  00002B                     	ds	10
   284  000035                     lcd_bcd@F4836:
   285                           	opt stack 0
   286  000035                     	ds	10
   287  00003F                     _value:
   288                           	opt stack 0
   289  00003F                     	ds	3
   290  000042                     _centerValue:
   291                           	opt stack 0
   292  000042                     	ds	2
   293  000044                     _counter:
   294                           	opt stack 0
   295  000044                     	ds	2
   296  000046                     _i:
   297                           	opt stack 0
   298  000046                     	ds	2
   299  000048                     _j:
   300                           	opt stack 0
   301  000048                     	ds	2
   302  00004A                     _maximum:
   303                           	opt stack 0
   304  00004A                     	ds	2
   305  00004C                     _selection:
   306                           	opt stack 0
   307  00004C                     	ds	1
   308  00004D                     _valueans:
   309                           	opt stack 0
   310  00004D                     	ds	3
   311                           tblptru	equ	0xFF8
   312                           tblptrh	equ	0xFF7
   313                           tblptrl	equ	0xFF6
   314                           tablat	equ	0xFF5
   315                           postinc0	equ	0xFEE
   316                           wreg	equ	0xFE8
   317                           postdec1	equ	0xFE5
   318                           fsr1l	equ	0xFE1
   319                           
   320                           	psect	dataCOMRAM
   321  000050                     __pdataCOMRAM:
   322                           	opt stack 0
   323  000050                     _incrementValue:
   324                           	opt stack 0
   325  000050                     	ds	2
   326                           tblptru	equ	0xFF8
   327                           tblptrh	equ	0xFF7
   328                           tblptrl	equ	0xFF6
   329                           tablat	equ	0xFF5
   330                           postinc0	equ	0xFEE
   331                           wreg	equ	0xFE8
   332                           postdec1	equ	0xFE5
   333                           fsr1l	equ	0xFE1
   334                           
   335                           	psect	dataBANK0
   336  000060                     __pdataBANK0:
   337                           	opt stack 0
   338  000060                     _firstLine1:
   339                           	opt stack 0
   340  000060                     	ds	25
   341  000079                     _firstLine2:
   342                           	opt stack 0
   343  000079                     	ds	25
   344  000092                     _secondLine:
   345                           	opt stack 0
   346  000092                     	ds	25
   347                           tblptru	equ	0xFF8
   348                           tblptrh	equ	0xFF7
   349                           tblptrl	equ	0xFF6
   350                           tablat	equ	0xFF5
   351                           postinc0	equ	0xFEE
   352                           wreg	equ	0xFE8
   353                           postdec1	equ	0xFE5
   354                           fsr1l	equ	0xFE1
   355                           
   356                           	psect	cstackCOMRAM
   357  000001                     __pcstackCOMRAM:
   358                           	opt stack 0
   359  000001                     ?_adc_run:
   360                           	opt stack 0
   361  000001                     ?___lwdiv:
   362                           	opt stack 0
   363  000001                     ?___lwmod:
   364                           	opt stack 0
   365  000001                     ?___ftpack:
   366                           	opt stack 0
   367  000001                     ?___fttol:
   368                           	opt stack 0
   369  000001                     delay_us@uc_data:
   370                           	opt stack 0
   371  000001                     delay_ms@ui_data:
   372                           	opt stack 0
   373  000001                     ___lwdiv@dividend:
   374                           	opt stack 0
   375  000001                     ___lwmod@dividend:
   376                           	opt stack 0
   377  000001                     ___ftpack@arg:
   378                           	opt stack 0
   379  000001                     ___fttol@f1:
   380                           	opt stack 0
   381                           
   382                           ; 3 bytes @ 0x0
   383  000001                     	ds	1
   384  000002                     ??_lcd_4bit_write:
   385                           
   386                           ; 0 bytes @ 0x1
   387  000002                     	ds	1
   388  000003                     ??_delay_ms:
   389  000003                     ??_adc_run:
   390  000003                     lcd_4bit_write@data:
   391                           	opt stack 0
   392  000003                     ___lwdiv@divisor:
   393                           	opt stack 0
   394  000003                     ___lwmod@divisor:
   395                           	opt stack 0
   396                           
   397                           ; 2 bytes @ 0x2
   398  000003                     	ds	1
   399  000004                     lcd_config@command:
   400                           	opt stack 0
   401  000004                     lcd_putchar@data:
   402                           	opt stack 0
   403  000004                     ___ftpack@exp:
   404                           	opt stack 0
   405                           
   406                           ; 1 bytes @ 0x3
   407  000004                     	ds	1
   408  000005                     ??___fttol:
   409  000005                     lcd_goto@address:
   410                           	opt stack 0
   411  000005                     ___ftpack@sign:
   412                           	opt stack 0
   413  000005                     ___lwmod@counter:
   414                           	opt stack 0
   415  000005                     lcd_putstr@str:
   416                           	opt stack 0
   417  000005                     ___lwdiv@quotient:
   418                           	opt stack 0
   419                           
   420                           ; 2 bytes @ 0x4
   421  000005                     	ds	1
   422  000006                     ??___ftpack:
   423                           
   424                           ; 0 bytes @ 0x5
   425  000006                     	ds	1
   426  000007                     ___lwdiv@counter:
   427                           	opt stack 0
   428                           
   429                           ; 1 bytes @ 0x6
   430  000007                     	ds	2
   431  000009                     ?___ftmul:
   432                           	opt stack 0
   433  000009                     ?___awtoft:
   434                           	opt stack 0
   435  000009                     ___awtoft@c:
   436                           	opt stack 0
   437  000009                     ___ftmul@f1:
   438                           	opt stack 0
   439                           
   440                           ; 3 bytes @ 0x8
   441  000009                     	ds	1
   442  00000A                     ___fttol@sign1:
   443                           	opt stack 0
   444                           
   445                           ; 1 bytes @ 0x9
   446  00000A                     	ds	1
   447  00000B                     ___fttol@lval:
   448                           	opt stack 0
   449                           
   450                           ; 4 bytes @ 0xA
   451  00000B                     	ds	1
   452  00000C                     ___awtoft@sign:
   453                           	opt stack 0
   454  00000C                     ___ftmul@f2:
   455                           	opt stack 0
   456                           
   457                           ; 3 bytes @ 0xB
   458  00000C                     	ds	1
   459  00000D                     ?___ftneg:
   460                           	opt stack 0
   461  00000D                     ___ftge@ff1:
   462                           	opt stack 0
   463  00000D                     ___ftneg@f1:
   464                           	opt stack 0
   465                           
   466                           ; 3 bytes @ 0xC
   467  00000D                     	ds	2
   468  00000F                     ??___ftmul:
   469  00000F                     ___fttol@exp1:
   470                           	opt stack 0
   471                           
   472                           ; 1 bytes @ 0xE
   473  00000F                     	ds	1
   474  000010                     ?___ftadd:
   475                           	opt stack 0
   476  000010                     lcd_bcd@ui_number:
   477                           	opt stack 0
   478  000010                     bcd@ui_number:
   479                           	opt stack 0
   480  000010                     ___ftadd@f1:
   481                           	opt stack 0
   482  000010                     ___ftge@ff2:
   483                           	opt stack 0
   484                           
   485                           ; 3 bytes @ 0xF
   486  000010                     	ds	2
   487  000012                     ??_lcd_bcd:
   488  000012                     ??_bcd:
   489  000012                     ___ftmul@exp:
   490                           	opt stack 0
   491                           
   492                           ; 1 bytes @ 0x11
   493  000012                     	ds	1
   494  000013                     ??___ftge:
   495  000013                     ___ftadd@f2:
   496                           	opt stack 0
   497  000013                     ___ftmul@f3_as_product:
   498                           	opt stack 0
   499                           
   500                           ; 3 bytes @ 0x12
   501  000013                     	ds	3
   502  000016                     ??___ftadd:
   503  000016                     ___ftmul@cntr:
   504                           	opt stack 0
   505  000016                     bcd@value:
   506                           	opt stack 0
   507  000016                     lcd_bcd@ui_decimal:
   508                           	opt stack 0
   509                           
   510                           ; 10 bytes @ 0x15
   511  000016                     	ds	1
   512  000017                     ___ftmul@sign:
   513                           	opt stack 0
   514                           
   515                           ; 1 bytes @ 0x16
   516  000017                     	ds	1
   517  000018                     ?___ftdiv:
   518                           	opt stack 0
   519  000018                     ___ftdiv@f1:
   520                           	opt stack 0
   521  000018                     bcd@ui_decimal:
   522                           	opt stack 0
   523                           
   524                           ; 10 bytes @ 0x17
   525  000018                     	ds	1
   526  000019                     ___ftadd@sign:
   527                           	opt stack 0
   528                           
   529                           ; 1 bytes @ 0x18
   530  000019                     	ds	1
   531  00001A                     ___ftadd@exp2:
   532                           	opt stack 0
   533                           
   534                           ; 1 bytes @ 0x19
   535  00001A                     	ds	1
   536  00001B                     ___ftadd@exp1:
   537                           	opt stack 0
   538  00001B                     ___ftdiv@f2:
   539                           	opt stack 0
   540                           
   541                           ; 3 bytes @ 0x1A
   542  00001B                     	ds	3
   543  00001E                     ??___ftdiv:
   544                           
   545                           ; 0 bytes @ 0x1D
   546  00001E                     	ds	2
   547  000020                     lcd_bcd@uc_digit:
   548                           	opt stack 0
   549                           
   550                           ; 1 bytes @ 0x1F
   551  000020                     	ds	1
   552  000021                     ___ftdiv@cntr:
   553                           	opt stack 0
   554                           
   555                           ; 1 bytes @ 0x20
   556  000021                     	ds	1
   557  000022                     bcd@uc_digit:
   558                           	opt stack 0
   559  000022                     ___ftdiv@f3:
   560                           	opt stack 0
   561                           
   562                           ; 3 bytes @ 0x21
   563  000022                     	ds	3
   564  000025                     ___ftdiv@exp:
   565                           	opt stack 0
   566                           
   567                           ; 1 bytes @ 0x24
   568  000025                     	ds	1
   569  000026                     ___ftdiv@sign:
   570                           	opt stack 0
   571                           
   572                           ; 1 bytes @ 0x25
   573  000026                     	ds	1
   574  000027                     ??_main:
   575                           
   576                           ; 0 bytes @ 0x26
   577  000027                     	ds	4
   578                           tblptru	equ	0xFF8
   579                           tblptrh	equ	0xFF7
   580                           tblptrl	equ	0xFF6
   581                           tablat	equ	0xFF5
   582                           postinc0	equ	0xFEE
   583                           wreg	equ	0xFE8
   584                           postdec1	equ	0xFE5
   585                           fsr1l	equ	0xFE1
   586                           
   587 ;;
   588 ;;Main: autosize = 0, tempsize = 4, incstack = 0, save=0
   589 ;;
   590 ;; *************** function _main *****************
   591 ;; Defined at:
   592 ;;		line 115 in file "CurretSense.c"
   593 ;; Parameters:    Size  Location     Type
   594 ;;		None
   595 ;; Auto vars:     Size  Location     Type
   596 ;;		None
   597 ;; Return value:  Size  Location     Type
   598 ;;		None               void
   599 ;; Registers used:
   600 ;;		wreg, fsr1l, fsr1h, fsr2l, fsr2h, status,2, status,0, tblptrl, tblptrh, tblptru, prodl, cstack
   601 ;; Tracked objects:
   602 ;;		On entry : 0/0
   603 ;;		On exit  : 0/0
   604 ;;		Unchanged: 0/0
   605 ;; Data sizes:     COMRAM   BANK0   BANK1   BANK2   BANK3   BANK4   BANK5   BANK6   BANK7
   606 ;;      Params:         0       0       0       0       0       0       0       0       0
   607 ;;      Locals:         0       0       0       0       0       0       0       0       0
   608 ;;      Temps:          4       0       0       0       0       0       0       0       0
   609 ;;      Totals:         4       0       0       0       0       0       0       0       0
   610 ;;Total ram usage:        4 bytes
   611 ;; Hardware stack levels required when called:    6
   612 ;; This function calls:
   613 ;;		___awtoft
   614 ;;		___ftadd
   615 ;;		___ftdiv
   616 ;;		___ftge
   617 ;;		___ftmul
   618 ;;		___ftneg
   619 ;;		___fttol
   620 ;;		_adc_run
   621 ;;		_bcd
   622 ;;		_delay_ms
   623 ;;		_lcd_bcd
   624 ;;		_lcd_clear
   625 ;;		_lcd_goto
   626 ;;		_lcd_home
   627 ;;		_lcd_init
   628 ;;		_lcd_putchar
   629 ;;		_lcd_putstr
   630 ;; This function is called by:
   631 ;;		Startup code after reset
   632 ;; This function uses a non-reentrant model
   633 ;;
   634                           
   635                           	psect	text0
   636  000826                     __ptext0:
   637                           	opt stack 0
   638  000826                     _main:
   639                           	opt stack 25
   640                           
   641                           ;CurretSense.c: 118: PORTA = 0;
   642                           
   643                           ;incstack = 0
   644  000826  0E00               	movlw	0
   645  000828  6E80               	movwf	3968,c	;volatile
   646                           
   647                           ;CurretSense.c: 119: PORTB = 0;
   648  00082A  0E00               	movlw	0
   649  00082C  6E81               	movwf	3969,c	;volatile
   650                           
   651                           ;CurretSense.c: 120: PORTC = 0;
   652  00082E  0E00               	movlw	0
   653  000830  6E82               	movwf	3970,c	;volatile
   654                           
   655                           ;CurretSense.c: 121: TRISA = 0b00000001;
   656  000832  0E01               	movlw	1
   657  000834  6E92               	movwf	3986,c	;volatile
   658                           
   659                           ;CurretSense.c: 122: TRISB = 0b00000001;
   660  000836  0E01               	movlw	1
   661  000838  6E93               	movwf	3987,c	;volatile
   662                           
   663                           ;CurretSense.c: 123: TRISC = 0b00000000;
   664  00083A  0E00               	movlw	0
   665  00083C  6E94               	movwf	3988,c	;volatile
   666                           
   667                           ;CurretSense.c: 127: CM0 = 1;
   668  00083E  80B4               	bsf	4020,0,c	;volatile
   669                           
   670                           ;CurretSense.c: 128: CM1 = 1;
   671  000840  82B4               	bsf	4020,1,c	;volatile
   672                           
   673                           ;CurretSense.c: 129: CM2 = 1;
   674  000842  84B4               	bsf	4020,2,c	;volatile
   675                           
   676                           ;CurretSense.c: 133: VCFG1 = 0;
   677  000844  9AC1               	bcf	4033,5,c	;volatile
   678                           
   679                           ;CurretSense.c: 134: VCFG0 = 0;
   680  000846  98C1               	bcf	4033,4,c	;volatile
   681                           
   682                           ;CurretSense.c: 135: PCFG0 = 0;
   683  000848  90C1               	bcf	4033,0,c	;volatile
   684                           
   685                           ;CurretSense.c: 136: PCFG1 = 1;
   686  00084A  82C1               	bsf	4033,1,c	;volatile
   687                           
   688                           ;CurretSense.c: 137: PCFG2 = 1;
   689  00084C  84C1               	bsf	4033,2,c	;volatile
   690                           
   691                           ;CurretSense.c: 138: PCFG3 = 1;
   692  00084E  86C1               	bsf	4033,3,c	;volatile
   693                           
   694                           ;CurretSense.c: 139: CHS0 = 0;
   695  000850  94C2               	bcf	4034,2,c	;volatile
   696                           
   697                           ;CurretSense.c: 140: CHS1 = 0;
   698  000852  96C2               	bcf	4034,3,c	;volatile
   699                           
   700                           ;CurretSense.c: 141: CHS2 = 0;
   701  000854  98C2               	bcf	4034,4,c	;volatile
   702                           
   703                           ;CurretSense.c: 142: CHS3 = 0;
   704  000856  9AC2               	bcf	4034,5,c	;volatile
   705                           
   706                           ;CurretSense.c: 143: ADFM = 1;
   707  000858  8EC0               	bsf	4032,7,c	;volatile
   708                           
   709                           ;CurretSense.c: 144: ADCS0 = 1;
   710  00085A  80C0               	bsf	4032,0,c	;volatile
   711                           
   712                           ;CurretSense.c: 145: ADCS1 = 0;
   713  00085C  92C0               	bcf	4032,1,c	;volatile
   714                           
   715                           ;CurretSense.c: 146: ADCS0 = 1;
   716  00085E  80C0               	bsf	4032,0,c	;volatile
   717                           
   718                           ;CurretSense.c: 147: ADON = 1;
   719  000860  80C2               	bsf	4034,0,c	;volatile
   720                           
   721                           ;CurretSense.c: 150: lcd_init();
   722  000862  EC02  F00B         	call	_lcd_init	;wreg free
   723                           
   724                           ;CurretSense.c: 151: lcd_clear();
   725  000866  EC8D  F00C         	call	_lcd_clear	;wreg free
   726                           
   727                           ;CurretSense.c: 152: lcd_home();
   728  00086A  EC97  F00C         	call	_lcd_home	;wreg free
   729                           
   730                           ;CurretSense.c: 153: lcd_putstr(" Cytron ");
   731  00086E  0E08               	movlw	high STR_1
   732  000870  6E06               	movwf	lcd_putstr@str+1,c
   733  000872  0E0A               	movlw	low STR_1
   734  000874  6E05               	movwf	lcd_putstr@str,c
   735  000876  EC1B  F00C         	call	_lcd_putstr	;wreg free
   736                           
   737                           ;CurretSense.c: 154: delay_ms(1000);
   738  00087A  0E03               	movlw	3
   739  00087C  6E02               	movwf	delay_ms@ui_data+1,c
   740  00087E  0EE8               	movlw	232
   741  000880  6E01               	movwf	delay_ms@ui_data,c
   742  000882  EC43  F00C         	call	_delay_ms	;wreg free
   743                           
   744                           ;CurretSense.c: 155: lcd_goto(0x40);
   745  000886  0E40               	movlw	64
   746  000888  ECAA  F00C         	call	_lcd_goto
   747                           
   748                           ;CurretSense.c: 156: lcd_putstr("AmpMeter");
   749  00088C  0E08               	movlw	high STR_2
   750  00088E  6E06               	movwf	lcd_putstr@str+1,c
   751  000890  0E1C               	movlw	low STR_2
   752  000892  6E05               	movwf	lcd_putstr@str,c
   753  000894  EC1B  F00C         	call	_lcd_putstr	;wreg free
   754                           
   755                           ;CurretSense.c: 157: lcd_clear();
   756  000898  EC8D  F00C         	call	_lcd_clear	;wreg free
   757                           
   758                           ;CurretSense.c: 160: lcd_goto(0x00);
   759  00089C  0E00               	movlw	0
   760  00089E  ECAA  F00C         	call	_lcd_goto
   761                           
   762                           ;CurretSense.c: 161: lcd_putstr("Ctr=    ");
   763  0008A2  0E08               	movlw	high STR_3
   764  0008A4  6E06               	movwf	lcd_putstr@str+1,c
   765  0008A6  0E01               	movlw	low STR_3
   766  0008A8  6E05               	movwf	lcd_putstr@str,c
   767  0008AA  EC1B  F00C         	call	_lcd_putstr	;wreg free
   768                           
   769                           ;CurretSense.c: 162: lcd_goto(0x40);
   770  0008AE  0E40               	movlw	64
   771  0008B0  ECAA  F00C         	call	_lcd_goto
   772                           
   773                           ;CurretSense.c: 163: lcd_putstr("PressSW1");
   774  0008B4  0E08               	movlw	high STR_4
   775  0008B6  6E06               	movwf	lcd_putstr@str+1,c
   776  0008B8  0E13               	movlw	low STR_4
   777  0008BA  6E05               	movwf	lcd_putstr@str,c
   778  0008BC  EC1B  F00C         	call	_lcd_putstr	;wreg free
   779  0008C0                     l117:
   780                           
   781                           ;CurretSense.c: 165: {
   782                           ;CurretSense.c: 166: value = 0;
   783  0008C0  0E00               	movlw	0
   784  0008C2  6E3F               	movwf	_value,c
   785  0008C4  0E00               	movlw	0
   786  0008C6  6E40               	movwf	_value+1,c
   787  0008C8  0E00               	movlw	0
   788  0008CA  6E41               	movwf	_value+2,c
   789                           
   790                           ;CurretSense.c: 167: for(i = 0;i < 256;i++)
   791  0008CC  0E00               	movlw	0
   792  0008CE  6E47               	movwf	_i+1,c
   793  0008D0  0E00               	movlw	0
   794  0008D2  6E46               	movwf	_i,c
   795  0008D4  5047               	movf	_i+1,w,c
